support,itemsets,length
0.9336772291820191,frozenset({'i'}),1
0.8942520265291083,frozenset({'a'}),1
0.8876197494473103,frozenset({'u'}),1
0.8761974944731025,"frozenset({'i', 'u'})",2
0.8470891672807664,"frozenset({'a', 'i'})",2
0.8036109064112011,"frozenset({'a', 'u'})",2
0.7962417096536477,"frozenset({'a', 'i', 'u'})",3
0.6241709653647752,frozenset({'e'}),1
0.6112748710390568,"frozenset({'i', 'e'})",2
0.6109064112011791,frozenset({'o'}),1
0.5965364775239499,"frozenset({'o', 'i'})",2
0.5851142225497421,"frozenset({'u', 'e'})",2
0.5810611643330877,"frozenset({'i', 'u', 'e'})",3
0.576271186440678,"frozenset({'a', 'e'})",2
0.5663227708179809,"frozenset({'o', 'u'})",2
0.5663227708179809,"frozenset({'o', 'e'})",2
0.5663227708179809,"frozenset({'a', 'i', 'e'})",3
0.5626381724392041,"frozenset({'o', 'a'})",2
0.5619012527634488,"frozenset({'o', 'i', 'u'})",3
0.5571112748710391,"frozenset({'o', 'i', 'e'})",3
0.5523212969786293,"frozenset({'o', 'a', 'i'})",3
0.5427413411938099,"frozenset({'a', 'u', 'e'})",3
0.5357406042741342,"frozenset({'o', 'u', 'e'})",3
0.525792188651437,"frozenset({'o', 'a', 'e'})",3
0.5228445099484156,"frozenset({'o', 'a', 'u'})",3
0.37546057479734707,frozenset({'ɛ'}),1
0.3548268238761975,frozenset({'ɔ'}),1
0.3474576271186441,"frozenset({'ɛ', 'i'})",2
0.3371407516580693,"frozenset({'ɛ', 'u'})",2
0.33308769344141487,"frozenset({'a', 'ɛ'})",2
0.3323507737656595,"frozenset({'ɔ', 'i'})",2
0.3305084745762712,"frozenset({'ɛ', 'i', 'u'})",3
0.3290346352247605,"frozenset({'ɔ', 'u'})",2
0.32424465733235075,"frozenset({'a', 'ɔ'})",2
0.3238761974944731,"frozenset({'ɔ', 'i', 'u'})",3
0.32092851879145173,frozenset({'iː'}),1
0.3124539425202653,"frozenset({'a', 'i', 'ɛ'})",3
0.3058216654384672,"frozenset({'ɔ', 'a', 'i'})",3
0.30545320560058953,"frozenset({'ɛ', 'ɔ'})",2
0.30397936624907884,"frozenset({'a', 'u', 'ɛ'})",3
0.30397936624907884,frozenset({'aː'}),1
0.30287398673544585,"frozenset({'ɔ', 'a', 'u'})",3
0.2969786293294031,frozenset({'uː'}),1
0.2943994104642594,"frozenset({'aː', 'a'})",2
0.29403095062638174,"frozenset({'iː', 'i'})",2
0.29108327192336036,"frozenset({'uː', 'iː'})",2
0.28739867354458365,"frozenset({'ɔ', 'ɛ', 'i'})",3
0.2851879145173176,"frozenset({'ɔ', 'ɛ', 'u'})",3
0.2826086956521739,"frozenset({'a', 'iː'})",2
0.28039793662490786,"frozenset({'a', 'ɔ', 'ɛ'})",3
0.28039793662490786,"frozenset({'aː', 'i'})",2
0.2778187177597642,"frozenset({'o', 'ɛ'})",2
0.2748710390567428,"frozenset({'aː', 'a', 'i'})",3
0.2748710390567428,"frozenset({'iː', 'u'})",2
0.2745025792188651,"frozenset({'aː', 'iː'})",2
0.27339719970523213,"frozenset({'uː', 'u'})",2
0.2715549005158438,"frozenset({'o', 'ɛ', 'i'})",3
0.2715549005158438,"frozenset({'iː', 'i', 'u'})",3
0.27081798084008846,"frozenset({'uː', 'i'})",2
0.2700810611643331,"frozenset({'ɔ', 'e'})",2
0.2678703021370671,"frozenset({'iː', 'uː', 'u'})",3
0.2678703021370671,"frozenset({'iː', 'uː', 'i'})",3
0.2675018422991894,"frozenset({'i', 'uː', 'u'})",3
0.2660280029476787,"frozenset({'aː', 'u'})",2
0.2660280029476787,"frozenset({'aː', 'a', 'iː'})",3
0.26565954310980106,"frozenset({'ɔ', 'i', 'e'})",3
0.26529108327192336,"frozenset({'a', 'iː', 'i'})",3
0.26529108327192336,"frozenset({'o', 'ɛ', 'u'})",3
0.26381724392041267,"frozenset({'ɔ', 'u', 'e'})",3
0.26160648489314664,"frozenset({'aː', 'i', 'u'})",3
0.261238025055269,"frozenset({'aː', 'a', 'u'})",3
0.261238025055269,"frozenset({'a', 'uː'})",2
0.2608695652173913,"frozenset({'o', 'ɔ'})",2
0.26013264554163595,"frozenset({'aː', 'iː', 'i'})",3
0.25902726602800297,"frozenset({'o', 'a', 'ɛ'})",3
0.2582903463522476,"frozenset({'ɛ', 'e'})",2
0.25681650700073694,"frozenset({'o', 'ɔ', 'i'})",3
0.25681650700073694,"frozenset({'a', 'uː', 'iː'})",3
0.2557111274871039,"frozenset({'o', 'ɔ', 'u'})",3
0.2557111274871039,"frozenset({'a', 'ɔ', 'e'})",3
0.2542372881355932,"frozenset({'aː', 'uː'})",2
0.25386882829771557,"frozenset({'ɛ', 'i', 'e'})",3
0.2523949889462049,"frozenset({'ɛ', 'u', 'e'})",3
0.2520265291083272,"frozenset({'o', 'ɔ', 'e'})",3
0.2505526897568165,"frozenset({'aː', 'uː', 'iː'})",3
0.2483419307295505,"frozenset({'a', 'iː', 'u'})",3
0.24797347089167282,"frozenset({'o', 'a', 'ɔ'})",3
0.2468680913780398,"frozenset({'o', 'ɛ', 'e'})",3
0.2468680913780398,"frozenset({'a', 'uː', 'u'})",3
0.24613117170228446,"frozenset({'aː', 'a', 'uː'})",3
