State,SegmentClass,Phoneme,Language_Count
Andaman and Nicobar Islands,consonant,j,3
Andaman and Nicobar Islands,consonant,k,3
Andaman and Nicobar Islands,consonant,l,3
Andaman and Nicobar Islands,consonant,m,3
Andaman and Nicobar Islands,consonant,n,3
Andaman and Nicobar Islands,consonant,r,3
Andaman and Nicobar Islands,consonant,w,3
Andaman and Nicobar Islands,consonant,ŋ,3
Andaman and Nicobar Islands,consonant,b,2
Andaman and Nicobar Islands,consonant,p,2
Andaman and Nicobar Islands,consonant,t,2
Andaman and Nicobar Islands,consonant,t̠ʃ,2
Andaman and Nicobar Islands,consonant,ɡ,2
Andaman and Nicobar Islands,consonant,ɲ,2
Andaman and Nicobar Islands,consonant,ɾ,2
Andaman and Nicobar Islands,consonant,c,1
Andaman and Nicobar Islands,consonant,cç,1
Andaman and Nicobar Islands,consonant,d,1
Andaman and Nicobar Islands,consonant,d̠ʒ,1
Andaman and Nicobar Islands,consonant,d̪,1
Andaman and Nicobar Islands,consonant,d̪|d,1
Andaman and Nicobar Islands,consonant,f,1
Andaman and Nicobar Islands,consonant,h,1
Andaman and Nicobar Islands,consonant,k̙,1
Andaman and Nicobar Islands,consonant,l̪|l,1
Andaman and Nicobar Islands,consonant,n̠,1
Andaman and Nicobar Islands,consonant,n̪|n,1
Andaman and Nicobar Islands,consonant,s,1
Andaman and Nicobar Islands,consonant,s̪,1
Andaman and Nicobar Islands,consonant,tʰ,1
Andaman and Nicobar Islands,consonant,t̪,1
Andaman and Nicobar Islands,consonant,t̪|t,1
Andaman and Nicobar Islands,consonant,t̪ʰ,1
Andaman and Nicobar Islands,consonant,ɖ,1
Andaman and Nicobar Islands,consonant,ɟ,1
Andaman and Nicobar Islands,consonant,ɟʝ,1
Andaman and Nicobar Islands,consonant,ɳ,1
Andaman and Nicobar Islands,consonant,ɹ̪|ɹ,1
Andaman and Nicobar Islands,consonant,ʈ,1
Andaman and Nicobar Islands,consonant,ʈʰ,1
Andaman and Nicobar Islands,consonant,ʔ,1
Andaman and Nicobar Islands,consonant,θ,1
Andaman and Nicobar Islands,consonant,χ,1
Andaman and Nicobar Islands,vowel,e,3
Andaman and Nicobar Islands,vowel,i,3
Andaman and Nicobar Islands,vowel,o,3
Andaman and Nicobar Islands,vowel,u,3
Andaman and Nicobar Islands,vowel,ɔ,3
Andaman and Nicobar Islands,vowel,ɛ,3
Andaman and Nicobar Islands,vowel,a,2
Andaman and Nicobar Islands,vowel,ɯ,2
Andaman and Nicobar Islands,vowel,e̞,1
Andaman and Nicobar Islands,vowel,o̞,1
Andaman and Nicobar Islands,vowel,æ,1
Andaman and Nicobar Islands,vowel,ɒ,1
Andaman and Nicobar Islands,vowel,ɘ,1
Andaman and Nicobar Islands,vowel,ə,1
Andaman and Nicobar Islands,vowel,ɤ,1
Andaman and Nicobar Islands,vowel,ɪ,1
Andhra Pradesh,consonant,b,6
Andhra Pradesh,consonant,j,6
Andhra Pradesh,consonant,k,6
Andhra Pradesh,consonant,l,6
Andhra Pradesh,consonant,m,6
Andhra Pradesh,consonant,n,6
Andhra Pradesh,consonant,p,6
Andhra Pradesh,consonant,s,6
Andhra Pradesh,consonant,ɡ,6
Andhra Pradesh,consonant,r,5
Andhra Pradesh,consonant,w,5
Andhra Pradesh,consonant,ŋ,5
Andhra Pradesh,consonant,ɖ,5
Andhra Pradesh,consonant,ɳ,5
Andhra Pradesh,consonant,d,4
Andhra Pradesh,consonant,t,4
Andhra Pradesh,consonant,ɟʝ,4
Andhra Pradesh,consonant,ʈ,4
Andhra Pradesh,consonant,cç,3
Andhra Pradesh,consonant,d̪,3
Andhra Pradesh,consonant,h,3
Andhra Pradesh,consonant,t̪,3
Andhra Pradesh,consonant,z,3
Andhra Pradesh,consonant,ɲ,3
Andhra Pradesh,consonant,ɽ,3
Andhra Pradesh,consonant,ɾ,3
Andhra Pradesh,consonant,ʔ,3
Andhra Pradesh,consonant,c,2
Andhra Pradesh,consonant,mb,2
Andhra Pradesh,consonant,nd,2
Andhra Pradesh,consonant,n̪,2
Andhra Pradesh,consonant,ŋɡ,2
Andhra Pradesh,consonant,ɟ,2
Andhra Pradesh,consonant,ʂ,2
Andhra Pradesh,consonant,b̻,1
Andhra Pradesh,consonant,dz,1
Andhra Pradesh,consonant,dʑ,1
Andhra Pradesh,consonant,d̻,1
Andhra Pradesh,consonant,kʰ,1
Andhra Pradesh,consonant,k̻,1
Andhra Pradesh,consonant,l̥,1
Andhra Pradesh,consonant,ndz,1
Andhra Pradesh,consonant,ndʑ,1
Andhra Pradesh,consonant,pʰ,1
Andhra Pradesh,consonant,p̻,1
Andhra Pradesh,consonant,r̠ʲ,1
Andhra Pradesh,consonant,r̥,1
Andhra Pradesh,consonant,sʰ,1
Andhra Pradesh,consonant,ts,1
Andhra Pradesh,consonant,tsʰ,1
Andhra Pradesh,consonant,tɕ,1
Andhra Pradesh,consonant,tɕʰ,1
Andhra Pradesh,consonant,tʰ,1
Andhra Pradesh,consonant,x,1
Andhra Pradesh,consonant,xʰ,1
Andhra Pradesh,consonant,ɕ,1
Andhra Pradesh,consonant,ɕʰ,1
Andhra Pradesh,consonant,ɖʐ,1
Andhra Pradesh,consonant,ɣ,1
Andhra Pradesh,consonant,ɭ,1
Andhra Pradesh,consonant,ɲɟ,1
Andhra Pradesh,consonant,ɳɖ,1
Andhra Pradesh,consonant,ɳɖʐ,1
Andhra Pradesh,consonant,ʁ,1
Andhra Pradesh,consonant,ʂʰ,1
Andhra Pradesh,consonant,ʈʂ,1
Andhra Pradesh,consonant,ʈʂʰ,1
Andhra Pradesh,consonant,ʑ,1
Andhra Pradesh,vowel,i,6
Andhra Pradesh,vowel,u,6
Andhra Pradesh,vowel,a,5
Andhra Pradesh,vowel,e,5
Andhra Pradesh,vowel,o,5
Andhra Pradesh,vowel,iː,4
Andhra Pradesh,vowel,uː,4
Andhra Pradesh,vowel,ũː,4
Andhra Pradesh,vowel,æ̞̃,4
Andhra Pradesh,vowel,aː,3
Andhra Pradesh,vowel,eː,3
Andhra Pradesh,vowel,ĩː,3
Andhra Pradesh,vowel,oː,3
Andhra Pradesh,vowel,õː,3
Andhra Pradesh,vowel,õ̞,3
Andhra Pradesh,vowel,ũ,3
Andhra Pradesh,vowel,æ,3
Andhra Pradesh,vowel,ə,3
Andhra Pradesh,vowel,ə̃ː,3
Andhra Pradesh,vowel,ɛ,3
Andhra Pradesh,vowel,ɪ,3
Andhra Pradesh,vowel,ʊ̃,3
Andhra Pradesh,vowel,ã,2
Andhra Pradesh,vowel,ɑ,2
Andhra Pradesh,vowel,ɑ̃ː,2
Andhra Pradesh,vowel,ɔ,2
Andhra Pradesh,vowel,ɨ,2
Andhra Pradesh,vowel,ɪ̃,2
Andhra Pradesh,vowel,ʊ,2
Andhra Pradesh,vowel,ãː,1
Andhra Pradesh,vowel,ẽ,1
Andhra Pradesh,vowel,ẽː,1
Andhra Pradesh,vowel,ia,1
Andhra Pradesh,vowel,ĩ,1
Andhra Pradesh,vowel,oi,1
Andhra Pradesh,vowel,õ,1
Andhra Pradesh,vowel,ui,1
Andhra Pradesh,vowel,u̯a,1
Andhra Pradesh,vowel,u̯e,1
Andhra Pradesh,vowel,u̯i,1
Andhra Pradesh,vowel,y,1
Andhra Pradesh,vowel,ø,1
Andhra Pradesh,vowel,œ,1
Andhra Pradesh,vowel,ɑː,1
Andhra Pradesh,vowel,ɪː,1
Andhra Pradesh,vowel,ʉ,1
Andhra Pradesh,vowel,ʉː,1
Andhra Pradesh,vowel,ʌ,1
Arunachal Pradesh,consonant,b,6
Arunachal Pradesh,consonant,m,6
Arunachal Pradesh,consonant,s,6
Arunachal Pradesh,consonant,ŋ,6
Arunachal Pradesh,consonant,ɡ,6
Arunachal Pradesh,consonant,j,5
Arunachal Pradesh,consonant,k,5
Arunachal Pradesh,consonant,l,5
Arunachal Pradesh,consonant,p,5
Arunachal Pradesh,consonant,d,4
Arunachal Pradesh,consonant,n,4
Arunachal Pradesh,consonant,x,4
Arunachal Pradesh,consonant,cç,3
Arunachal Pradesh,consonant,h,3
Arunachal Pradesh,consonant,kʰ,3
Arunachal Pradesh,consonant,pʰ,3
Arunachal Pradesh,consonant,t,3
Arunachal Pradesh,consonant,ɟʝ,3
Arunachal Pradesh,consonant,ɲ,3
Arunachal Pradesh,consonant,ɾ,3
Arunachal Pradesh,consonant,ʔ,3
Arunachal Pradesh,consonant,d̪,2
Arunachal Pradesh,consonant,n̪,2
Arunachal Pradesh,consonant,r,2
Arunachal Pradesh,consonant,ts,2
Arunachal Pradesh,consonant,tʰ,2
Arunachal Pradesh,consonant,t̪,2
Arunachal Pradesh,consonant,w,2
Arunachal Pradesh,consonant,z,2
Arunachal Pradesh,consonant,bʲ,1
Arunachal Pradesh,consonant,dz,1
Arunachal Pradesh,consonant,dʑ,1
Arunachal Pradesh,consonant,d̠ʒ,1
Arunachal Pradesh,consonant,d̪|d,1
Arunachal Pradesh,consonant,lʲ,1
Arunachal Pradesh,consonant,l̥,1
Arunachal Pradesh,consonant,l̪,1
Arunachal Pradesh,consonant,mʲ,1
Arunachal Pradesh,consonant,nʲ,1
Arunachal Pradesh,consonant,n̪|n,1
Arunachal Pradesh,consonant,pʲ,1
Arunachal Pradesh,consonant,s̪|s,1
Arunachal Pradesh,consonant,tsʰ,1
Arunachal Pradesh,consonant,tɕ,1
Arunachal Pradesh,consonant,tɕʰ,1
Arunachal Pradesh,consonant,t̠ʃʰ,1
Arunachal Pradesh,consonant,t̪|t,1
Arunachal Pradesh,consonant,t̪ʰ,1
Arunachal Pradesh,consonant,ç,1
Arunachal Pradesh,consonant,ɕ,1
Arunachal Pradesh,consonant,ɖʐ,1
Arunachal Pradesh,consonant,ɡʲ,1
Arunachal Pradesh,consonant,ɣ,1
Arunachal Pradesh,consonant,ɦ,1
Arunachal Pradesh,consonant,ɸ,1
Arunachal Pradesh,consonant,ɻ,1
Arunachal Pradesh,consonant,ʂ,1
Arunachal Pradesh,consonant,ʃ,1
Arunachal Pradesh,consonant,ʈʂ,1
Arunachal Pradesh,consonant,ʈʂʰ,1
Arunachal Pradesh,consonant,ʑ,1
Arunachal Pradesh,consonant,β,1
Arunachal Pradesh,vowel,u,6
Arunachal Pradesh,vowel,e,5
Arunachal Pradesh,vowel,i,5
Arunachal Pradesh,vowel,o,5
Arunachal Pradesh,vowel,ə,5
Arunachal Pradesh,vowel,a,3
Arunachal Pradesh,vowel,ɔ,3
Arunachal Pradesh,vowel,aː,2
Arunachal Pradesh,vowel,iː,2
Arunachal Pradesh,vowel,uː,2
Arunachal Pradesh,vowel,ɑ,2
Arunachal Pradesh,vowel,ɛ,2
Arunachal Pradesh,vowel,ɨ,2
Arunachal Pradesh,vowel,ɯ,2
Arunachal Pradesh,vowel,ʌ,2
Arunachal Pradesh,vowel,eu,1
Arunachal Pradesh,vowel,eː,1
Arunachal Pradesh,vowel,io,1
Arunachal Pradesh,vowel,iu,1
Arunachal Pradesh,vowel,iɑ,1
Arunachal Pradesh,vowel,i̥,1
Arunachal Pradesh,vowel,oː,1
Arunachal Pradesh,vowel,ui,1
Arunachal Pradesh,vowel,uɑ,1
Arunachal Pradesh,vowel,ũː,1
Arunachal Pradesh,vowel,u̥,1
Arunachal Pradesh,vowel,y,1
Arunachal Pradesh,vowel,yu,1
Arunachal Pradesh,vowel,æ,1
Arunachal Pradesh,vowel,ø,1
Arunachal Pradesh,vowel,øu,1
Arunachal Pradesh,vowel,ɑi,1
Arunachal Pradesh,vowel,ɑu,1
Arunachal Pradesh,vowel,ɑː,1
Arunachal Pradesh,vowel,ɔː,1
Arunachal Pradesh,vowel,əu,1
Arunachal Pradesh,vowel,əː,1
Arunachal Pradesh,vowel,ɵ,1
Arunachal Pradesh,vowel,ɵː,1
Arunachal Pradesh,vowel,ʊ̃,1
Assam,consonant,b,6
Assam,consonant,d,6
Assam,consonant,j,6
Assam,consonant,k,6
Assam,consonant,l,6
Assam,consonant,m,6
Assam,consonant,n,6
Assam,consonant,p,6
Assam,consonant,t,6
Assam,consonant,ŋ,6
Assam,consonant,h,5
Assam,consonant,kʰ,5
Assam,consonant,pʰ,5
Assam,consonant,s,5
Assam,consonant,tʰ,5
Assam,consonant,w,5
Assam,consonant,ɡ,5
Assam,consonant,r,4
Assam,consonant,z,4
Assam,consonant,ɡʱ,4
Assam,consonant,b̤,3
Assam,consonant,d̤,3
Assam,consonant,ɾ,3
Assam,consonant,d̠ʒ,2
Assam,consonant,d̪,2
Assam,consonant,n̪,2
Assam,consonant,ts,2
Assam,consonant,t̠ʃ,2
Assam,consonant,t̪,2
Assam,consonant,x,2
Assam,consonant,ɟʝ,2
Assam,consonant,ɦ,2
Assam,consonant,ɲ,2
Assam,consonant,ʔ,2
Assam,consonant,bʱ,1
Assam,consonant,b̰,1
Assam,consonant,cç,1
Assam,consonant,cçʰ,1
Assam,consonant,dz,1
Assam,consonant,dʱ,1
Assam,consonant,d̠ʒʱ,1
Assam,consonant,d̪̤,1
Assam,consonant,l̩,1
Assam,consonant,n̩,1
Assam,consonant,r̩,1
Assam,consonant,tsʰ,1
Assam,consonant,t̠ʃʰ,1
Assam,consonant,t̪ʰ,1
Assam,consonant,t̪̰,1
Assam,consonant,z̤,1
Assam,consonant,ɡ̤,1
Assam,consonant,ɡ̰,1
Assam,consonant,ɹ,1
Assam,consonant,ɽ,1
Assam,vowel,a,6
Assam,vowel,e,6
Assam,vowel,i,6
Assam,vowel,u,6
Assam,vowel,o,5
Assam,vowel,ɔ,5
Assam,vowel,ɛ,4
Assam,vowel,ə,3
Assam,vowel,ʊ,3
Assam,vowel,ai,2
Assam,vowel,ei,2
Assam,vowel,oi,2
Assam,vowel,ui,2
Assam,vowel,ɪ,2
Assam,vowel,ae̞,1
Assam,vowel,ao,1
Assam,vowel,au,1
Assam,vowel,ã,1
Assam,vowel,eu,1
Assam,vowel,eə,1
Assam,vowel,ẽ,1
Assam,vowel,e̞,1
Assam,vowel,ẽ̞,1
Assam,vowel,ia,1
Assam,vowel,ie,1
Assam,vowel,io,1
Assam,vowel,iɔ,1
Assam,vowel,ĩ,1
Assam,vowel,i̯a,1
Assam,vowel,i̯u,1
Assam,vowel,i̯ɔ,1
Assam,vowel,oe̞,1
Assam,vowel,ou,1
Assam,vowel,õ,1
Assam,vowel,õ̞,1
Assam,vowel,ũ,1
Assam,vowel,ũː,1
Assam,vowel,u̞,1
Assam,vowel,u̯ə,1
Assam,vowel,æ̞̃,1
Assam,vowel,ɑ,1
Assam,vowel,ɑ̃,1
Assam,vowel,ɒ,1
Assam,vowel,ɛ̃,1
Assam,vowel,ɪ̃,1
Assam,vowel,ɯ,1
Assam,vowel,ʊ̃,1
Assam,vowel,ʌ̃,1
Bihar,consonant,b,3
Bihar,consonant,b̤,3
Bihar,consonant,d̪,3
Bihar,consonant,d̪̤,3
Bihar,consonant,j,3
Bihar,consonant,k,3
Bihar,consonant,kʰ,3
Bihar,consonant,m,3
Bihar,consonant,n,3
Bihar,consonant,p,3
Bihar,consonant,pʰ,3
Bihar,consonant,r,3
Bihar,consonant,s,3
Bihar,consonant,t̪,3
Bihar,consonant,t̪ʰ,3
Bihar,consonant,w,3
Bihar,consonant,ɖ,3
Bihar,consonant,ɖ̤,3
Bihar,consonant,ɡ,3
Bihar,consonant,ɡ̤,3
Bihar,consonant,ɽ,3
Bihar,consonant,ɽ̤,3
Bihar,consonant,ʈ,3
Bihar,consonant,ʈʰ,3
Bihar,consonant,c,2
Bihar,consonant,cʰ,2
Bihar,consonant,h,2
Bihar,consonant,l,2
Bihar,consonant,l̤,2
Bihar,consonant,m̤,2
Bihar,consonant,n̤,2
Bihar,consonant,rʰ,2
Bihar,consonant,ŋ,2
Bihar,consonant,ɟ,2
Bihar,consonant,ɟ̤,2
Bihar,consonant,cç,1
Bihar,consonant,cçʰ,1
Bihar,consonant,d̠ʒ,1
Bihar,consonant,d̠̤ʒ̤,1
Bihar,consonant,t̠ʃ,1
Bihar,consonant,t̠ʃʰ,1
Bihar,consonant,ç,1
Bihar,consonant,ŋʰ,1
Bihar,consonant,ɟʝ,1
Bihar,consonant,ɟ̤ʝ,1
Bihar,consonant,ɡʱ,1
Bihar,consonant,ɲ,1
Bihar,consonant,ɳ,1
Bihar,consonant,ɾ,1
Bihar,consonant,ʂ,1
Bihar,vowel,a,3
Bihar,vowel,ã,3
Bihar,vowel,e,3
Bihar,vowel,ẽ,3
Bihar,vowel,i,3
Bihar,vowel,ĩ,3
Bihar,vowel,o,3
Bihar,vowel,õ,3
Bihar,vowel,u,3
Bihar,vowel,ũ,3
Bihar,vowel,ai,2
Bihar,vowel,au,2
Bihar,vowel,əi,2
Bihar,vowel,əu,2
Bihar,vowel,ʌ,2
Bihar,vowel,ʌ̃,2
Bihar,vowel,ãĩ,1
Bihar,vowel,ãũ,1
Bihar,vowel,eu,1
Bihar,vowel,iu,1
Bihar,vowel,oi,1
Bihar,vowel,ou,1
Bihar,vowel,ui,1
Bihar,vowel,æ,1
Bihar,vowel,æ̃,1
Bihar,vowel,ɔ,1
Bihar,vowel,ɔ̃,1
Bihar,vowel,ə,1
Bihar,vowel,ə̃,1
Bihar,vowel,ə̃ĩ,1
Bihar,vowel,ə̃ũ,1
Chhattisgarh,consonant,b,3
Chhattisgarh,consonant,h,3
Chhattisgarh,consonant,j,3
Chhattisgarh,consonant,k,3
Chhattisgarh,consonant,l,3
Chhattisgarh,consonant,m,3
Chhattisgarh,consonant,n,3
Chhattisgarh,consonant,p,3
Chhattisgarh,consonant,s,3
Chhattisgarh,consonant,w,3
Chhattisgarh,consonant,ŋ,3
Chhattisgarh,consonant,ɡ,3
