State,Type,Phoneme,Count
,consonant,b,1
,consonant,bʱ,1
,consonant,d,1
,consonant,dz,1
,consonant,dzʱ,1
,consonant,dʱ,1
,consonant,j,1
,consonant,k,1
,consonant,kʰ,1
,consonant,l,1
,consonant,m,1
,consonant,n,1
,consonant,p,1
,consonant,pʰ,1
,consonant,q,1
,consonant,qʰ,1
,consonant,r,1
,consonant,s,1
,consonant,t,1
,consonant,ts,1
,consonant,tsʰ,1
,consonant,tʰ,1
,consonant,t̠ʃ,1
,consonant,w,1
,consonant,ŋ,1
,consonant,ɡ,1
,consonant,ɡʱ,1
,consonant,ɢ,1
,consonant,ɲ,1
,consonant,ɴ,1
,consonant,ʔ,1
,consonant,χ,1
,vowel,a,1
,vowel,e,1
,vowel,i,1
,vowel,o,1
,vowel,u,1
,vowel,ə,1
Aceh,consonant,cç,1
Aceh,consonant,d,1
Aceh,consonant,f,1
Aceh,consonant,h,1
Aceh,consonant,k,1
Aceh,consonant,l,1
Aceh,consonant,m,1
Aceh,consonant,n̪,1
Aceh,consonant,p,1
Aceh,consonant,r,1
Aceh,consonant,s,1
Aceh,consonant,t,1
Aceh,consonant,ŋ,1
Aceh,consonant,ɲ,1
Aceh,consonant,ɾ,1
Aceh,consonant,ʈ,1
Aceh,vowel,e,1
Aceh,vowel,eː,1
Aceh,vowel,i,1
Aceh,vowel,iː,1
Aceh,vowel,o,1
Aceh,vowel,oː,1
Aceh,vowel,u,1
Aceh,vowel,uː,1
Aceh,vowel,æ,1
Aceh,vowel,ɑ,1
Aceh,vowel,ɑː,1
Aceh,vowel,ɔ,1
Aceh,vowel,ɔː,1
Aceh,vowel,ə,1
Aceh,vowel,əː,1
Aceh,vowel,ɛ,1
Aceh,vowel,ɛː,1
Aceh,vowel,ɨː,1
Aceh,vowel,ɯ,1
Andaman and Nicobar Islands,consonant,j,6
Andaman and Nicobar Islands,consonant,m,6
Andaman and Nicobar Islands,consonant,w,6
Andaman and Nicobar Islands,consonant,ŋ,6
Andaman and Nicobar Islands,consonant,b,5
Andaman and Nicobar Islands,consonant,p,5
Andaman and Nicobar Islands,consonant,ɲ,5
Andaman and Nicobar Islands,consonant,k,4
Andaman and Nicobar Islands,consonant,l,4
Andaman and Nicobar Islands,consonant,n,4
Andaman and Nicobar Islands,consonant,r,4
Andaman and Nicobar Islands,consonant,t̠ʃ,3
Andaman and Nicobar Islands,consonant,ɡ,3
Andaman and Nicobar Islands,consonant,ɾ,3
Andaman and Nicobar Islands,consonant,c,2
Andaman and Nicobar Islands,consonant,d̠ʒ,2
Andaman and Nicobar Islands,consonant,d̪,2
Andaman and Nicobar Islands,consonant,d̪|d,2
Andaman and Nicobar Islands,consonant,k̙,2
Andaman and Nicobar Islands,consonant,l̪|l,2
Andaman and Nicobar Islands,consonant,n̪|n,2
Andaman and Nicobar Islands,consonant,s,2
Andaman and Nicobar Islands,consonant,t,2
Andaman and Nicobar Islands,consonant,tʰ,2
Andaman and Nicobar Islands,consonant,t̪,2
Andaman and Nicobar Islands,consonant,t̪|t,2
Andaman and Nicobar Islands,consonant,t̪ʰ,2
Andaman and Nicobar Islands,consonant,ɖ,2
Andaman and Nicobar Islands,consonant,ɟ,2
Andaman and Nicobar Islands,consonant,ɳ,2
Andaman and Nicobar Islands,consonant,ɹ̪|ɹ,2
Andaman and Nicobar Islands,consonant,ʈ,2
Andaman and Nicobar Islands,consonant,ʈʰ,2
Andaman and Nicobar Islands,consonant,θ,2
Andaman and Nicobar Islands,consonant,χ,2
Andaman and Nicobar Islands,consonant,cç,1
Andaman and Nicobar Islands,consonant,d,1
Andaman and Nicobar Islands,consonant,f,1
Andaman and Nicobar Islands,consonant,h,1
Andaman and Nicobar Islands,consonant,n̠,1
Andaman and Nicobar Islands,consonant,s̪,1
Andaman and Nicobar Islands,consonant,ɟʝ,1
Andaman and Nicobar Islands,consonant,ʔ,1
Andaman and Nicobar Islands,vowel,i,6
Andaman and Nicobar Islands,vowel,u,6
Andaman and Nicobar Islands,vowel,ɔ,6
Andaman and Nicobar Islands,vowel,ɛ,6
Andaman and Nicobar Islands,vowel,a,5
Andaman and Nicobar Islands,vowel,e,4
Andaman and Nicobar Islands,vowel,o,4
Andaman and Nicobar Islands,vowel,ɯ,3
Andaman and Nicobar Islands,vowel,e̞,2
Andaman and Nicobar Islands,vowel,o̞,2
Andaman and Nicobar Islands,vowel,æ,2
Andaman and Nicobar Islands,vowel,ə,2
Andaman and Nicobar Islands,vowel,ɪ,2
Andaman and Nicobar Islands,vowel,ɒ,1
Andaman and Nicobar Islands,vowel,ɘ,1
Andaman and Nicobar Islands,vowel,ɤ,1
Andhra Pradesh,consonant,b,17
Andhra Pradesh,consonant,k,17
Andhra Pradesh,consonant,l,17
Andhra Pradesh,consonant,m,17
Andhra Pradesh,consonant,p,17
Andhra Pradesh,consonant,s,17
Andhra Pradesh,consonant,ɡ,17
Andhra Pradesh,consonant,ŋ,16
Andhra Pradesh,consonant,n,14
Andhra Pradesh,consonant,r,13
Andhra Pradesh,consonant,j,12
Andhra Pradesh,consonant,ɲ,12
Andhra Pradesh,consonant,ɽ,11
Andhra Pradesh,consonant,ʔ,11
Andhra Pradesh,consonant,d,10
Andhra Pradesh,consonant,ɖ,10
Andhra Pradesh,consonant,t,9
Andhra Pradesh,consonant,n̪,8
Andhra Pradesh,consonant,t̪,8
Andhra Pradesh,consonant,ɳ,8
Andhra Pradesh,consonant,ɾ,8
Andhra Pradesh,consonant,ɟʝ,7
Andhra Pradesh,consonant,ʈ,7
Andhra Pradesh,consonant,h,6
Andhra Pradesh,consonant,w,6
Andhra Pradesh,consonant,c,5
Andhra Pradesh,consonant,d̪,5
Andhra Pradesh,consonant,z,5
Andhra Pradesh,consonant,ɟ,5
Andhra Pradesh,consonant,cç,4
Andhra Pradesh,consonant,b̻,3
Andhra Pradesh,consonant,d̻,3
Andhra Pradesh,consonant,k̻,3
Andhra Pradesh,consonant,mb,3
Andhra Pradesh,consonant,nd,3
Andhra Pradesh,consonant,p̻,3
Andhra Pradesh,consonant,r̠ʲ,3
Andhra Pradesh,consonant,ŋɡ,3
Andhra Pradesh,consonant,ɲɟ,2
Andhra Pradesh,consonant,ɳɖ,2
Andhra Pradesh,consonant,ʂ,2
Andhra Pradesh,consonant,dz,1
Andhra Pradesh,consonant,dʑ,1
Andhra Pradesh,consonant,kʰ,1
Andhra Pradesh,consonant,l̥,1
Andhra Pradesh,consonant,ndz,1
Andhra Pradesh,consonant,ndʑ,1
Andhra Pradesh,consonant,pʰ,1
Andhra Pradesh,consonant,r̥,1
Andhra Pradesh,consonant,sʰ,1
Andhra Pradesh,consonant,ts,1
Andhra Pradesh,consonant,tsʰ,1
Andhra Pradesh,consonant,tɕ,1
Andhra Pradesh,consonant,tɕʰ,1
Andhra Pradesh,consonant,tʰ,1
Andhra Pradesh,consonant,x,1
Andhra Pradesh,consonant,xʰ,1
Andhra Pradesh,consonant,ɕ,1
Andhra Pradesh,consonant,ɕʰ,1
Andhra Pradesh,consonant,ɖʐ,1
Andhra Pradesh,consonant,ɣ,1
Andhra Pradesh,consonant,ɭ,1
Andhra Pradesh,consonant,ɳɖʐ,1
Andhra Pradesh,consonant,ʁ,1
Andhra Pradesh,consonant,ʂʰ,1
Andhra Pradesh,consonant,ʈʂ,1
Andhra Pradesh,consonant,ʈʂʰ,1
Andhra Pradesh,consonant,ʑ,1
Andhra Pradesh,vowel,i,17
Andhra Pradesh,vowel,u,17
Andhra Pradesh,vowel,e,16
Andhra Pradesh,vowel,o,16
Andhra Pradesh,vowel,a,13
Andhra Pradesh,vowel,ə,12
Andhra Pradesh,vowel,ʊ,11
Andhra Pradesh,vowel,ɪ,9
Andhra Pradesh,vowel,æ,6
Andhra Pradesh,vowel,ɛ,6
Andhra Pradesh,vowel,ũː,5
Andhra Pradesh,vowel,æ̞̃,5
Andhra Pradesh,vowel,iː,4
Andhra Pradesh,vowel,õ̞,4
Andhra Pradesh,vowel,uː,4
Andhra Pradesh,vowel,ũ,4
Andhra Pradesh,vowel,ɑ,4
Andhra Pradesh,vowel,ɨ,4
Andhra Pradesh,vowel,aː,3
Andhra Pradesh,vowel,ã,3
Andhra Pradesh,vowel,eː,3
Andhra Pradesh,vowel,ĩː,3
Andhra Pradesh,vowel,oː,3
Andhra Pradesh,vowel,õː,3
Andhra Pradesh,vowel,y,3
Andhra Pradesh,vowel,ø,3
Andhra Pradesh,vowel,ɔ,3
Andhra Pradesh,vowel,ə̃ː,3
Andhra Pradesh,vowel,ʊ̃,3
Andhra Pradesh,vowel,ʌ,3
Andhra Pradesh,vowel,ẽ,2
Andhra Pradesh,vowel,ia,2
Andhra Pradesh,vowel,ĩ,2
Andhra Pradesh,vowel,oi,2
Andhra Pradesh,vowel,õ,2
Andhra Pradesh,vowel,ui,2
Andhra Pradesh,vowel,u̯a,2
Andhra Pradesh,vowel,u̯e,2
Andhra Pradesh,vowel,u̯i,2
Andhra Pradesh,vowel,œ,2
Andhra Pradesh,vowel,ɑ̃ː,2
Andhra Pradesh,vowel,ɪ̃,2
Andhra Pradesh,vowel,ãː,1
Andhra Pradesh,vowel,ẽː,1
Andhra Pradesh,vowel,ɑː,1
Andhra Pradesh,vowel,ɪː,1
Andhra Pradesh,vowel,ʉ,1
Andhra Pradesh,vowel,ʉː,1
Arunachal Pradesh,consonant,b,9
Arunachal Pradesh,consonant,m,9
Arunachal Pradesh,consonant,ŋ,9
Arunachal Pradesh,consonant,ɡ,9
Arunachal Pradesh,consonant,j,8
Arunachal Pradesh,consonant,k,8
Arunachal Pradesh,consonant,p,8
Arunachal Pradesh,consonant,s,7
Arunachal Pradesh,consonant,x,7
Arunachal Pradesh,consonant,d,5
Arunachal Pradesh,consonant,l,5
Arunachal Pradesh,consonant,n,5
Arunachal Pradesh,consonant,r,5
Arunachal Pradesh,consonant,l̪,4
Arunachal Pradesh,consonant,t,4
Arunachal Pradesh,consonant,ɦ,4
Arunachal Pradesh,consonant,ʔ,4
Arunachal Pradesh,consonant,cç,3
Arunachal Pradesh,consonant,h,3
Arunachal Pradesh,consonant,kʰ,3
Arunachal Pradesh,consonant,pʰ,3
Arunachal Pradesh,consonant,ɟʝ,3
Arunachal Pradesh,consonant,ɲ,3
Arunachal Pradesh,consonant,ɾ,3
Arunachal Pradesh,consonant,d̪,2
Arunachal Pradesh,consonant,d̪|d,2
Arunachal Pradesh,consonant,n̪,2
Arunachal Pradesh,consonant,n̪|n,2
Arunachal Pradesh,consonant,s̪|s,2
Arunachal Pradesh,consonant,ts,2
Arunachal Pradesh,consonant,tʰ,2
Arunachal Pradesh,consonant,t̪,2
Arunachal Pradesh,consonant,t̪|t,2
Arunachal Pradesh,consonant,w,2
Arunachal Pradesh,consonant,z,2
Arunachal Pradesh,consonant,bʲ,1
Arunachal Pradesh,consonant,dz,1
Arunachal Pradesh,consonant,dʑ,1
Arunachal Pradesh,consonant,d̠ʒ,1
Arunachal Pradesh,consonant,lʲ,1
Arunachal Pradesh,consonant,l̥,1
Arunachal Pradesh,consonant,mʲ,1
Arunachal Pradesh,consonant,nʲ,1
Arunachal Pradesh,consonant,pʲ,1
Arunachal Pradesh,consonant,tsʰ,1
Arunachal Pradesh,consonant,tɕ,1
Arunachal Pradesh,consonant,tɕʰ,1
Arunachal Pradesh,consonant,t̠ʃʰ,1
Arunachal Pradesh,consonant,t̪ʰ,1
Arunachal Pradesh,consonant,ç,1
Arunachal Pradesh,consonant,ɕ,1
Arunachal Pradesh,consonant,ɖʐ,1
Arunachal Pradesh,consonant,ɡʲ,1
Arunachal Pradesh,consonant,ɣ,1
Arunachal Pradesh,consonant,ɸ,1
Arunachal Pradesh,consonant,ɻ,1
Arunachal Pradesh,consonant,ʂ,1
Arunachal Pradesh,consonant,ʃ,1
Arunachal Pradesh,consonant,ʈʂ,1
Arunachal Pradesh,consonant,ʈʂʰ,1
Arunachal Pradesh,consonant,ʑ,1
Arunachal Pradesh,consonant,β,1
Arunachal Pradesh,tone,˥˦,2
Arunachal Pradesh,tone,˩˨,2
Arunachal Pradesh,tone,˥˩,1
Arunachal Pradesh,tone,˧,1
Arunachal Pradesh,tone,˩˥,1
Arunachal Pradesh,vowel,u,9
